,layer,shape,size
919,features.denseblock4.denselayer15.conv2.conv_out.bias,torch.Size([28]),28
920,features.denseblock4.denselayer15.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
921,features.denseblock4.denselayer15.conv2.qkv_conv.bias,torch.Size([84]),84
922,features.denseblock4.denselayer15.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
923,features.denseblock4.denselayer15.conv2.attn_out.bias,torch.Size([4]),4
924,features.denseblock4.denselayer16.norm1.weight,torch.Size([992]),992
925,features.denseblock4.denselayer16.norm1.bias,torch.Size([992]),992
926,features.denseblock4.denselayer16.conv1.conv_out.weight,"torch.Size([124, 992, 1, 1])",123008
927,features.denseblock4.denselayer16.conv1.conv_out.bias,torch.Size([124]),124
928,features.denseblock4.denselayer16.conv1.qkv_conv.weight,"torch.Size([84, 992, 1, 1])",83328
929,features.denseblock4.denselayer16.conv1.qkv_conv.bias,torch.Size([84]),84
930,features.denseblock4.denselayer16.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
931,features.denseblock4.denselayer16.conv1.attn_out.bias,torch.Size([4]),4
932,features.denseblock4.denselayer16.norm2.weight,torch.Size([128]),128
933,features.denseblock4.denselayer16.norm2.bias,torch.Size([128]),128
934,features.denseblock4.denselayer16.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
935,features.denseblock4.denselayer16.conv2.conv_out.bias,torch.Size([28]),28
936,features.denseblock4.denselayer16.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
937,features.denseblock4.denselayer16.conv2.qkv_conv.bias,torch.Size([84]),84
938,features.denseblock4.denselayer16.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
939,features.denseblock4.denselayer16.conv2.attn_out.bias,torch.Size([4]),4
940,features.norm5.weight,torch.Size([1024]),1024
941,features.norm5.bias,torch.Size([1024]),1024
942,classifier.weight,"torch.Size([100, 1024])",102400
943,classifier.bias,torch.Size([100]),100
